valid mae: 2.0737365437521813, valid rmse:4.1748922839422935
valid mae: 2.075392603538811, valid rmse:4.201925399297884
valid mae: 2.083832749000891, valid rmse:4.224701223305551
valid mae: 2.075497703405151, valid rmse:4.256420689737536
valid mae: 2.062337990411001, valid rmse:4.257385716227371
valid mae: 2.0905794331370697, valid rmse:4.300132917021036
valid mae: 2.1013620848441046, valid rmse:4.350777742237337
valid mae: 2.091854505125126, valid rmse:4.249775854579659
valid mae: 2.0861988503961064, valid rmse:4.2474374595758135
valid mae: 2.0869458004401045, valid rmse:4.273455001548058
valid mae: 2.0812046256191863, valid rmse:4.268572363989621
valid mae: 2.094398241102823, valid rmse:4.315799047154855
valid mae: 2.094302178187833, valid rmse:4.337792692189316
valid mae: 2.1109418866383303, valid rmse:4.406923872823965
valid mae: 2.1125865986876167, valid rmse:4.455321392351417
valid mae: 2.1075343867366594, valid rmse:4.489428493792226
valid mae: 2.1231413298992226, valid rmse:4.537083752545808
valid mae: 2.126002337452172, valid rmse:4.571399252271807
valid mae: 2.134261463699904, valid rmse:4.60166249533365
valid mae: 2.1252251655853573, valid rmse:4.604152971694446
valid mae: 2.1132810083232894, valid rmse:4.5085457436163425
valid mae: 2.099004369360841, valid rmse:4.47941911692615
valid mae: 2.111126863728063, valid rmse:4.45799152293197
valid mae: 2.11416667498177, valid rmse:4.452959574378865
valid mae: 2.1274888818127295, valid rmse:4.412463849646559
valid mae: 2.129181783294978, valid rmse:4.405880577396466
valid mae: 2.1384416795720016, valid rmse:4.392499096192741
valid mae: 2.139526429026121, valid rmse:4.442813638845035
valid mae: 2.1325400233835716, valid rmse:4.451036263198533
valid mae: 2.1350947855417752, valid rmse:4.417791562956947
valid mae: 2.137991874308065, valid rmse:4.413330955353698
valid mae: 2.1544772863651587, valid rmse:4.50264731200046
valid mae: 2.141609563920467, valid rmse:4.530015776922021
valid mae: 2.145634610138011, valid rmse:4.538365065480454
valid mae: 2.1634357038601864, valid rmse:4.50415748720069
valid mae: 2.1691466889604687, valid rmse:4.56480336342203
valid mae: 2.1831883132729244, valid rmse:4.636887542942304
valid mae: 2.162047607570663, valid rmse:4.6452579509063
valid mae: 2.174312888202432, valid rmse:4.619616812808436
valid mae: 2.1681880919284726, valid rmse:4.593268433671643
valid mae: 2.163884565034544, valid rmse:4.643326019106255
valid mae: 2.1862403534927743, valid rmse:4.653892504858421
valid mae: 2.177821753806128, valid rmse:4.6508440329812
valid mae: 2.17607059531385, valid rmse:4.697219992919695
valid mae: 2.177626964235868, valid rmse:4.719613102352058
valid mae: 2.171397731754238, valid rmse:4.719886886714964
valid mae: 2.1606718104488407, valid rmse:4.670187764600922
valid mae: 2.1431572778831214, valid rmse:4.6736797308694085
valid mae: 2.1522726613393357, valid rmse:4.670686149159745
valid mae: 2.146623120374682, valid rmse:4.6758392615440405
valid mae: 2.1484735930679886, valid rmse:4.758893875607368
valid mae: 2.15246474061317, valid rmse:4.7468070108959175
valid mae: 2.159947271895019, valid rmse:4.75543789083142
valid mae: 2.1650469112913706, valid rmse:4.747889627615424
valid mae: 2.184625320120576, valid rmse:4.766288100647781
valid mae: 2.1729887350116, valid rmse:4.748565418949978
valid mae: 2.1643898625521736, valid rmse:4.763182172303131
valid mae: 2.165322834887369, valid rmse:4.770656076009415
valid mae: 2.169899452928881, valid rmse:4.784369211157248
valid mae: 2.146307916475294, valid rmse:4.792068824715862
valid mae: 2.146598667401465, valid rmse:4.762413094364239
valid mae: 2.1443348302798384, valid rmse:4.77245616839356
valid mae: 2.154911319554523, valid rmse:4.782348068965066
valid mae: 2.1618141408247067, valid rmse:4.764956948538763
valid mae: 2.1777354778057125, valid rmse:4.779633825202431
valid mae: 2.1712093014082403, valid rmse:4.696667147344287
valid mae: 2.185054948818965, valid rmse:4.752832106508836
valid mae: 2.155338044818351, valid rmse:4.690326980822652
valid mae: 2.1701784408895852, valid rmse:4.7220227774292844
valid mae: 2.1728103947042143, valid rmse:4.702179563404942
valid mae: 2.168802825125116, valid rmse:4.726876964067011
valid mae: 2.1702803618415376, valid rmse:4.719719348148433
valid mae: 2.1755806106159667, valid rmse:4.674440605943967
valid mae: 2.172071434992654, valid rmse:4.627737148429127
valid mae: 2.1729063583939214, valid rmse:4.611985294947571
valid mae: 2.15990665729486, valid rmse:4.64023929545293
valid mae: 2.1661320565725575, valid rmse:4.67808488261668
valid mae: 2.1884703548207862, valid rmse:4.688419138537514
valid mae: 2.1947827967999767, valid rmse:4.684108484932505
valid mae: 2.2119263543209335, valid rmse:4.6752306507413905
valid mae: 2.220186162396611, valid rmse:4.6667951636003435
valid mae: 2.221748295193189, valid rmse:4.691486142116085
valid mae: 2.224748464554772, valid rmse:4.7005811817823595
valid mae: 2.2158911692982763, valid rmse:4.667655365327033
valid mae: 2.197395850667712, valid rmse:4.661349964358961
valid mae: 2.208177578167357, valid rmse:4.708222578823758
valid mae: 2.2189261921125465, valid rmse:4.673241770301556
valid mae: 2.2190534784503497, valid rmse:4.68526759963222
valid mae: 2.2124514308122225, valid rmse:4.656005144580862
valid mae: 2.21222833066476, valid rmse:4.690221221576193
valid mae: 2.202381707376542, valid rmse:4.624052105208871
valid mae: 2.1859129973251017, valid rmse:4.602449472338081
